UF-Ano;Nascimentos;Porc_prematuros;Porc_cesareas;Porc_grav_multipla;Porc_anomalias;Porc_nenhuma_consulta;Porc_consulta7mais;Porc_feminino;Porc_raca_mae_branca;Porc_raca_mae_negra;Porc_peso_menor_2500;Porc_apgar1_menor_7;Porc_apgar5_menor_7;GINI;T_DES;T_ANALF15M;PAREDE;T_AGUA;T_BANAGUA;AGUA_ESGOTO;T_LIXO;Cluster;Ano;UF;Estado;UF;Longitude;Latitude
RR-2010;-0.80356684849589;1.6201749762614954;-0.42319991472713864;0.07350980588873932;0.022556300936535954;0.032208300450862225;-0.39324323101455466;0.13245059574759627;-0.0827494457370658;-1.9281744992342404;0.04676013498948843;-0.7541172704681871;-0.6430132907113075;0.5349760422329026;-0.8174388684674655;-0.5337381287066578;1.5396045371756903;0.7454044304470923;0.0375586102278033;0.018539388521772764;0.6258404854469797;5;2010;RR;Roraima;RR;2.148823;-61.412437
RS-2000;0.503673435598054;1.0069471874575335;-0.024805065360645157;0.44266772951464384;0.08485753176240302;-0.22530642521506206;0.2800341025222105;0.6068184209519115;-1.716349907924071;0.5532968169477056;1.2826882100940376;-0.29992783944629803;-0.35068569152122825;-0.7320724788450209;0.17473017317525327;-0.9948076858992638;-1.5386874524887104;0.6903324245683058;0.8448232792819104;-0.9182859575517625;0.6899982894760582;3;2000;RS;Rio Grande do Sul;RS;-30.055066999999998;-52.387882
RS-2010;0.16331388216821283;2.3153225807747306;1.2977620279166804;1.5783158077505588;1.1698150408074555;-0.6154347258761735;1.6003592594865277;-0.4617461288745121;2.212234915948456;-1.7146591796828934;1.949849197690572;-0.47477955490414303;-0.5917361829490586;-1.745711295707357;-1.57875669745074;-1.261676750252593;-0.5407545444096585;0.9088813321083344;1.1589262607973863;-1.1240511866787903;0.8950929089132754;0;2010;RS;Rio Grande do Sul;RS;-30.055066999999998;-52.387882
SC-2000;-0.13742473787519843;-0.19896170836804905;0.022402652452236688;0.3009767060985917;-0.03700144971670516;-0.5933631450366972;-0.14357554975740874;-0.7784076490258058;-2.2936132450038222;0.20467356536041048;-0.1926425487628761;-0.34852553459388286;-0.23665033097473098;-1.2388918872761876;-0.29925157196594654;-1.0361535972779485;-1.0348298227416477;0.8056937842512385;0.9268501725439131;-0.9984156862021916;0.6363581582386313;3;2000;SC;Santa Catarina;SC;-27.257103999999998;-49.879453999999996
SC-2010;-0.21741032894596593;0.721104715802548;1.2649422692613193;1.1768350567199544;1.2984063417281198;-0.8329114298999827;1.4076734781588396;0.20154495480341889;2.8416524685591873;-2.146160918186054;0.4823260797920165;-0.8929714299651565;-0.628905422666548;-3.0127598167852807;-1.8538134614705037;-1.3105401000637658;-0.6524389719015017;0.7906214458002018;1.185935115895851;-1.1349330016807007;0.9024552798674328;0;2010;SC;Santa Catarina;SC;-27.257103999999998;-49.879453999999996
SE-2000;-0.5610500979634211;-0.49643929135173614;-1.7180704993902733;0.37412204356231743;-0.376956792169178;0.29164867755993024;0.1777346830182441;-0.6588761328986802;-4.4490344624672415;3.4091895967245076;-0.7395110728088309;0.2202158762616963;0.590546944382331;1.041795450664072;1.2921482770055428;1.3243220705233278;2.1525090800712676;-0.528787873990529;-0.33406322936773697;0.26981038947497027;-0.12196605003949504;1;2000;SE;Sergipe;SE;-8.263146;-35.51082299999999
SE-2010;-0.6135022326579637;0.03498766877038891;-0.43629668454732273;0.14501171318616765;1.0603978547151538;-0.6992155659942704;0.016582657373695533;-0.16330839355800508;-0.7790784839726057;0.9084451938627631;0.16983856054565402;-0.4430555941228412;-0.40778773702875254;0.2815663380173179;-0.2329432449254679;0.47735734046299705;-0.3249575150186397;0.5007687832802695;0.4476930765378199;-0.12193495059379429;0.6742217802885793;5;2010;SE;Sergipe;SE;-8.263146;-35.51082299999999
SP-2000;4.504597011268645;0.6481707188430705;0.5771072286066745;0.46100191655549855;0.17508663537420133;-0.5781776968172531;0.8632854496036929;0.501159056462064;-1.1571876107832282;1.3812355578855842;1.0631888125709208;-0.025558063200529668;-0.45699687757355045;-0.7320724788450209;1.4763380743402061;-0.9960605923046786;-1.6337607992721912;0.9743880338378388;1.1669288845302652;-1.1260296984973197;0.84565984679251;3;2000;SP;São Paulo;SP;-22.763116;-47.9046
SP-2010;3.8279879597395055;1.6846687039914356;1.36147501199042;2.1236139469204507;1.7561747916502086;-0.7657541401796929;1.9065038037441995;-0.002375024184240216;1.410218967710602;-0.9385413579350829;1.724869015531532;-0.4650140643590447;-0.5929249030399103;-1.2388918872761876;-0.8886589234368688;-1.2867348783608867;-0.8114473093475155;1.0480106101179014;1.19193708369551;-1.1527396080474626;0.9350600655215549;0;2010;SP;São Paulo;SP;-22.763116;-47.9046
TO-2000;-0.6746520272996164;0.34380947873667;-0.9107288500360046;-1.2434203673709183;-1.3335275859910216;-0.16988516464971426;-1.183228076719412;1.9989127173347163;-4.215983854867578;1.9078101563482048;-1.1829944661559926;1.0533982614877742;0.16310758837569483;1.041795450664072;0.7199319732858565;0.5249677838687556;3.070540154578042;-1.4354470023528771;-1.1738385573366623;0.6961796863679942;-1.7932242566330323;1;2000;TO;Tocantins;TO;-9.596869;-48.201864
TO-2010;-0.6882269529056367;-0.35428406696877635;0.20804701031484216;-0.945983721207271;-0.8198577090012648;-0.7482934509960953;0.1420173392514955;1.1648551360354973;-0.4929056032776333;-2.101187286174653;-0.6231991802343848;-0.8714450031110544;-0.5632821378152048;-0.2252530704138515;-0.9426879306550365;-0.18793596081220332;0.5647319921197717;0.8022155523009992;0.35616306759302346;-0.41376544382683844;0.3807787094014815;5;2010;TO;Tocantins;TO;-9.596869;-48.201864
